filename,height,altitude,lidar,resnet50,resnet50_fus,waternet,waternet_fus_lt
frame_016666.jpg,8.00,8.03,0.01,3.365,5.512,10.00,9.769577
frame_016673.jpg,8.00,8.04,0.01,3.322,5.513,10.00,9.610992
frame_016678.jpg,8.01,8.05,8.01,3.976,5.626,9.70,9.0217324
frame_016683.jpg,8.10,8.10,0.01,3.898,5.584,10.00,9.612549
frame_016690.jpg,8.10,8.11,0.01,3.519,5.540,10.00,9.5458942
frame_016696.jpg,8.10,8.13,8.37,3.472,5.552,10.00,10.1009036
frame_016701.jpg,8.23,8.19,8.21,3.248,5.606,10.00,10.1431704
frame_016707.jpg,8.23,8.20,0.01,2.873,5.623,10.00,9.5569682
frame_016713.jpg,8.23,8.22,0.01,2.801,5.703,10.00,9.9819102
frame_016718.jpg,8.23,8.24,0.01,2.668,5.483,10.00,10.2406674
frame_016724.jpg,8.23,8.25,0.01,2.624,5.620,10.00,9.5099134
frame_016731.jpg,8.23,8.27,0.01,3.198,5.515,10.00,9.8023654
frame_016735.jpg,8.23,8.28,0.01,3.593,5.541,9.68,9.4443502
frame_016742.jpg,8.23,8.29,0.01,3.815,5.529,9.73,9.39542
frame_016746.jpg,8.23,8.31,0.01,3.632,5.617,10.00,9.362445
frame_016752.jpg,8.23,8.33,0.01,3.515,5.586,10.00,9.6623358
frame_016759.jpg,8.23,8.34,0.01,2.119,5.602,10.00,9.7254638
frame_016766.jpg,8.23,8.37,0.01,2.320,5.536,10.00,10.258443
frame_016769.jpg,8.23,8.38,0.01,2.140,5.532,10.00,10.3510732
frame_016776.jpg,8.23,8.39,0.01,2.908,5.640,10.00,9.5004386
frame_016782.jpg,8.23,8.41,0.01,2.748,5.512,10.00,9.8470908
frame_016787.jpg,8.35,8.42,8.38,3.165,5.542,10.00,9.9114624
frame_016794.jpg,8.34,8.40,8.47,2.853,5.579,10.00,9.7391816
frame_016799.jpg,8.34,8.41,8.59,2.327,5.551,10.00,10.2652398
frame_016804.jpg,8.45,8.47,8.34,1.942,5.466,10.00,10.4226098
frame_016811.jpg,8.42,8.46,8.51,2.265,5.592,10.00,9.9418664
frame_016817.jpg,8.50,8.51,8.63,2.164,5.525,10.00,10.2616376
frame_016821.jpg,8.50,8.53,8.41,1.995,5.446,10.00,9.815908
frame_016828.jpg,8.48,8.52,8.41,2.475,5.526,9.55,9.136657
frame_016834.jpg,8.46,8.53,8.58,2.205,5.443,10.00,9.8631558
frame_016838.jpg,8.51,8.56,0.01,2.073,5.465,10.00,9.591858
frame_016845.jpg,8.53,8.58,0.01,2.140,5.482,9.54,9.5130106
frame_016851.jpg,8.53,8.59,0.01,2.880,5.621,10.00,9.6443644
frame_016858.jpg,8.53,8.62,0.01,2.887,5.497,9.83,9.58602
frame_016862.jpg,8.53,8.63,0.01,2.850,5.460,10.00,9.535303
frame_016868.jpg,8.53,8.64,0.01,2.384,5.602,10.00,9.9529132
frame_016873.jpg,8.53,8.66,0.01,2.623,5.476,10.00,9.9900256
frame_016879.jpg,8.53,8.66,0.01,2.869,5.638,10.00,9.663235
frame_016886.jpg,8.53,8.68,0.01,2.173,5.495,10.00,10.6232796
frame_016893.jpg,8.53,8.70,38.89,2.938,5.532,10.00,10.217545
frame_016897.jpg,28.19,8.71,0.01,2.213,5.480,10.00,10.1343656
frame_016903.jpg,28.19,8.73,0.01,1.964,5.474,10.00,10.1884504
frame_016907.jpg,28.19,8.75,0.01,1.954,5.548,10.00,9.9633646
frame_016914.jpg,28.19,8.76,0.01,2.149,5.549,10.00,9.629394
frame_016920.jpg,28.19,8.78,0.01,2.705,5.558,10.00,10.1474286
frame_016924.jpg,28.19,8.80,0.01,3.071,5.566,10.00,10.1723022
frame_016931.jpg,28.19,8.81,0.01,3.684,5.576,9.82,9.7253824
frame_016935.jpg,28.19,8.83,0.01,2.881,5.551,10.00,10.081808
frame_016942.jpg,28.19,8.85,0.01,3.038,5.570,10.00,10.2534848
frame_016948.jpg,28.19,8.86,8.84,3.157,5.588,10.00,10.337961
frame_016952.jpg,14.81,8.88,8.76,3.438,5.548,9.93,9.826374
frame_016959.jpg,10.85,8.86,8.88,3.399,5.604,10.00,9.988577
frame_016966.jpg,9.81,8.89,8.80,3.424,5.656,10.00,9.773983
frame_016972.jpg,9.53,8.89,8.80,2.868,5.547,10.00,10.4385576
frame_016976.jpg,9.35,8.90,8.88,2.774,5.544,9.92,9.835881
frame_016983.jpg,9.10,8.92,8.84,3.305,5.577,10.00,10.0083236
frame_016989.jpg,9.10,8.93,0.01,3.124,5.598,10.00,10.023529
frame_016996.jpg,9.10,8.95,0.01,3.366,5.553,10.00,9.9380102
frame_017000.jpg,9.10,8.96,0.01,3.132,5.594,10.00,9.9639158
frame_017006.jpg,9.18,9.02,9.05,3.197,5.544,10.00,10.0396666
frame_017011.jpg,9.14,9.05,0.01,2.963,5.544,10.00,10.0045176
frame_017017.jpg,9.14,9.06,0.01,2.175,5.572,10.00,10.0830422
frame_017021.jpg,9.14,9.08,0.01,2.299,5.545,10.00,10.4926138
frame_017030.jpg,9.14,9.10,0.01,2.155,5.690,10.00,10.149376
frame_017034.jpg,9.14,9.11,0.01,2.025,5.550,10.00,10.513835
frame_017041.jpg,9.14,9.13,0.01,2.157,5.581,10.00,10.113215
frame_017045.jpg,9.14,9.14,0.01,2.146,5.646,10.00,9.6303444
frame_017051.jpg,9.14,9.15,0.01,3.346,5.626,9.47,9.6320468
frame_017058.jpg,9.14,9.17,9.24,2.698,5.598,10.00,10.066043
frame_006878.jpg,8.00,8.13,65.36,3.073,5.699,10.00,10.428589
